timestamp_epoch,timestamp_iso,hostname,ap_ip,interface,banda,canal,sinal_dbm
1785094083.039,2026-07-26T16:28:03.040-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094083.039,2026-07-26T16:28:03.040-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094083.356,2026-07-26T16:28:03.357-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094083.356,2026-07-26T16:28:03.357-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-56
1785094083.668,2026-07-26T16:28:03.669-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094083.668,2026-07-26T16:28:03.669-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094084.000,2026-07-26T16:28:04.001-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094084.000,2026-07-26T16:28:04.001-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094084.313,2026-07-26T16:28:04.314-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094084.313,2026-07-26T16:28:04.314-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094084.628,2026-07-26T16:28:04.629-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094084.628,2026-07-26T16:28:04.629-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094084.940,2026-07-26T16:28:04.941-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094084.940,2026-07-26T16:28:04.941-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094085.253,2026-07-26T16:28:05.254-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094085.253,2026-07-26T16:28:05.254-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094085.567,2026-07-26T16:28:05.568-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094085.567,2026-07-26T16:28:05.568-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094085.885,2026-07-26T16:28:05.886-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094085.885,2026-07-26T16:28:05.886-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094086.199,2026-07-26T16:28:06.200-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094086.199,2026-07-26T16:28:06.200-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094086.511,2026-07-26T16:28:06.513-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094086.511,2026-07-26T16:28:06.513-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094086.823,2026-07-26T16:28:06.824-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094086.823,2026-07-26T16:28:06.824-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094087.143,2026-07-26T16:28:07.144-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094087.143,2026-07-26T16:28:07.144-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094087.456,2026-07-26T16:28:07.457-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094087.456,2026-07-26T16:28:07.457-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094087.769,2026-07-26T16:28:07.770-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094087.769,2026-07-26T16:28:07.770-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094088.081,2026-07-26T16:28:08.082-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094088.081,2026-07-26T16:28:08.082-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094088.393,2026-07-26T16:28:08.394-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094088.393,2026-07-26T16:28:08.394-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094088.706,2026-07-26T16:28:08.708-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094088.706,2026-07-26T16:28:08.708-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094089.019,2026-07-26T16:28:09.020-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094089.019,2026-07-26T16:28:09.020-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094089.332,2026-07-26T16:28:09.333-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094089.332,2026-07-26T16:28:09.333-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094089.644,2026-07-26T16:28:09.645-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094089.644,2026-07-26T16:28:09.645-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094089.964,2026-07-26T16:28:09.966-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094089.964,2026-07-26T16:28:09.966-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-46
1785094090.278,2026-07-26T16:28:10.279-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094090.278,2026-07-26T16:28:10.279-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094090.590,2026-07-26T16:28:10.591-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094090.590,2026-07-26T16:28:10.591-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094090.907,2026-07-26T16:28:10.909-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-46
1785094090.907,2026-07-26T16:28:10.909-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094091.219,2026-07-26T16:28:11.221-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094091.219,2026-07-26T16:28:11.221-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-44
1785094091.532,2026-07-26T16:28:11.533-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094091.532,2026-07-26T16:28:11.533-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-45
1785094091.844,2026-07-26T16:28:11.845-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094091.844,2026-07-26T16:28:11.845-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-45
1785094092.157,2026-07-26T16:28:12.158-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094092.157,2026-07-26T16:28:12.158-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094092.469,2026-07-26T16:28:12.470-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094092.469,2026-07-26T16:28:12.470-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094092.781,2026-07-26T16:28:12.782-03:00,ap-1,192.168.20.2,phy1-ap0,5 GHz,100,-78
1785094092.781,2026-07-26T16:28:12.782-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094093.092,2026-07-26T16:28:13.093-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094093.405,2026-07-26T16:28:13.406-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094093.716,2026-07-26T16:28:13.717-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094094.028,2026-07-26T16:28:14.029-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094094.340,2026-07-26T16:28:14.341-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094094.652,2026-07-26T16:28:14.653-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094094.966,2026-07-26T16:28:14.967-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094095.280,2026-07-26T16:28:15.281-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094095.593,2026-07-26T16:28:15.594-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094095.908,2026-07-26T16:28:15.909-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094096.228,2026-07-26T16:28:16.229-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094096.540,2026-07-26T16:28:16.541-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094096.853,2026-07-26T16:28:16.854-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094097.164,2026-07-26T16:28:17.165-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094097.479,2026-07-26T16:28:17.480-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094097.790,2026-07-26T16:28:17.791-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094098.103,2026-07-26T16:28:18.105-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094098.415,2026-07-26T16:28:18.416-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094098.727,2026-07-26T16:28:18.728-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094099.041,2026-07-26T16:28:19.042-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094099.353,2026-07-26T16:28:19.354-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094099.677,2026-07-26T16:28:19.678-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094099.988,2026-07-26T16:28:19.990-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094100.300,2026-07-26T16:28:20.302-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094100.613,2026-07-26T16:28:20.614-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094100.928,2026-07-26T16:28:20.929-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094101.244,2026-07-26T16:28:21.245-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094101.557,2026-07-26T16:28:21.558-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094101.870,2026-07-26T16:28:21.871-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094102.184,2026-07-26T16:28:22.185-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094102.495,2026-07-26T16:28:22.497-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-48
1785094102.815,2026-07-26T16:28:22.816-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094103.127,2026-07-26T16:28:23.128-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-43
1785094103.442,2026-07-26T16:28:23.443-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094103.755,2026-07-26T16:28:23.756-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094104.067,2026-07-26T16:28:24.069-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094104.379,2026-07-26T16:28:24.381-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094104.692,2026-07-26T16:28:24.693-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094105.005,2026-07-26T16:28:25.006-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094105.318,2026-07-26T16:28:25.319-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094105.632,2026-07-26T16:28:25.633-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-54
1785094105.945,2026-07-26T16:28:25.946-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094106.257,2026-07-26T16:28:26.258-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094106.570,2026-07-26T16:28:26.571-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094106.884,2026-07-26T16:28:26.885-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094107.196,2026-07-26T16:28:27.197-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-53
1785094107.509,2026-07-26T16:28:27.510-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-50
1785094107.821,2026-07-26T16:28:27.822-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
1785094108.132,2026-07-26T16:28:28.133-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094108.447,2026-07-26T16:28:28.449-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-47
1785094108.761,2026-07-26T16:28:28.762-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094109.072,2026-07-26T16:28:29.074-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-55
1785094109.386,2026-07-26T16:28:29.387-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094109.697,2026-07-26T16:28:29.699-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-51
1785094110.009,2026-07-26T16:28:30.011-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-52
1785094110.322,2026-07-26T16:28:30.324-03:00,ap-4,192.168.20.5,phy1-ap0,5 GHz,132,-49
